counter,epoch,elapsed_time,scoring,used_info
0,0,0.0008831024169921875,-,[]
1,1,1.088,-,[]
2,2,1.274,-,[]
3,1,1.705,-,[]
4,0,2.068,-,"['36', '36']"
5,1,3.353,-,[]
6,2,3.532,-,[]
7,3,3.692,-,[]
8,4,3.863,-,[]
9,5,4.064,-,[]
10,6,4.199,-,[]
11,7,4.367,-,[]
12,8,4.586,-,[]
13,9,4.689,N3,['0']
14,10,5.195,N2,['0']
15,11,5.512,N1,['0']
16,12,5.625,N3,['0']
17,13,5.856,-,['99']
